sample_num,Herbarium,Accession,Barcode,CurrentID,ID2,Island,Collector,Collection,Date,Locality,Condition,pedicel_L,epicalyx_lobe_L,epicalyx_lobe_W,calyx_lobe_L,fused_L,W_bw_calyx_tips,flower_L,cluster_6var
1,CBNM,---,---,boryanus,boryanus,Reunion,"Rhumeur, A",106,27-Mar-23,Petite Plaine,live plant,31.51,10.21,2.17,9.97,7.12,4.53,41.73,1
2,CBNM,---,---,boryanus,boryanus,Reunion,"Rhumeur, A",20,27-Mar-23,National 3 (Plaine des Palmistes),live plant,21.67,6.53,2.34,10.42,7.13,4.47,38.66,1
3,CBNM,---,---,boryanus,boryanus,Reunion,"Rhumeur, A",18,4-Apr-23,Mare Longue,live plant,24.39,7.26,1.66,10.77,7.72,4.58,41.58,1
4,CBNM,---,---,boryanus,boryanus,Reunion,"Rhumeur, A",99,4-Apr-23,Mourouvin,live plant,40.23,11.8,1.95,14.41,9.56,5.36,46.88,1
5,K,18031,---,boryanus,boryanus,Reunion,Coode,4178,23-Nov-73,Mare Longue,herbarium specimen,13.13,9.88,2.43,8.2,6.16,5.74,29.07,1
6,K,---,---,boryanus,boryanus,Reunion,Friedmann,3069,10-Dec-77,Mare Longue,herbarium specimen,11.18,7.5,1.79,9.69,8.35,5.1,34.03,1
7,MO,MO-2747340,---,boryanus,boryanus,Reunion,Lorence,2730,13-Jul-79,Brûlé de Baril (south Réunion); lower montane wet forest over lava flows.,herbarium specimen,21,11,2.3,7.1,6.1,5,30.1,1
8,P,---,P06624143,boryanus,boryanus,Reunion,"Capuron, R",28189,2-Feb-68,"Ile de la Réunion: Forêt de Mare Longue, au-dessus de Saint-Philippe",herbarium specimen,19.92,9.65,0.87,7.67,6.44,5.5,31.86,1
9,P,---,P06624146,boryanus,boryanus,Reunion,Friedmann,3069,10-Feb-77,"St. Philippe, Marelongue",herbarium specimen,27.57,11.26,2.18,11.82,9.52,7.28,42.77,1
10,P,---,P06624155,boryanus,boryanus,Reunion,Cadet,2832,25-Nov-70,Takamaka,herbarium specimen,11.66,9.39,1.71,11.06,8.59,5.25,35.41,1
11,P,---,P06624161,boryanus,boryanus,Reunion,Friedmann,1991,Nov-72,Marelongue,herbarium specimen,18.14,8.49,1.02,9.15,7.16,4.77,37.07,1
12,P,---,P06624145,boryanus,boryanus,Reunion,Friedmann,3069,10-Dec-77,Mare Longue,herbarium specimen,19.97,10.87,2.03,8.76,6.97,4.28,35.52,1
